epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,seconds
1,1.1221056232849758,1.1025532486351468,0.3159922928709056,0.1631728708744049,0.0003,22.14918190000003
2,1.0716872960329056,1.046324712233277,0.4393063583815029,0.41909095644950867,0.00029953760005996916,1.3570644999999786
3,1.0140459322267108,0.9719636477027555,0.49710982658959535,0.5045720934867859,0.00029815325108927063,1.3128899999999248
4,0.9426236814922757,0.9177210409057852,0.5240847784200385,0.5221184492111206,0.0002958554880596515,1.304800699999987
5,0.8909593456321292,0.8856622093215384,0.5645472061657033,0.5701239109039307,0.00029265847744427303,1.3183232000001226
6,0.8390089571475983,0.8644393470016288,0.5973025048169557,0.5853134393692017,0.000288581929876693,1.3353324999998222
7,0.7876046448945999,0.8369976206321936,0.6396917148362236,0.6425408124923706,0.0002836509786282552,1.3456507999999303
8,0.7290861970848508,0.8159820518971408,0.649325626204239,0.6302857398986816,0.00027789602465311383,1.327868800000033
9,0.684276228149732,0.7516276096792349,0.6840077071290944,0.6820757389068604,0.0002713525491562421,1.3072062999999616
10,0.6014150977134705,0.6886124861263356,0.7244701348747592,0.7240837812423706,0.00026406089484000466,1.3278407000000243
11,0.5578514180249639,0.6696922104942087,0.74373795761079,0.7456702589988708,0.0002560660171779821,1.33938309999985
12,0.5269014686346054,0.7084133721500463,0.7186897880539499,0.7124453783035278,0.0002474172072495276,1.3289408000000549
13,0.4711951141556104,0.6341499641451532,0.7745664739884393,0.776164174079895,0.000238167787843871,1.323671000000104
14,0.4616224931346046,0.650117939377566,0.7591522157996147,0.7599238753318787,0.00022837478470739232,1.3473427000001266
15,0.4401649476753341,0.6078425534428429,0.7996146435452793,0.802085816860199,0.000218098574960932,1.3156495999999152
16,0.42009462664524716,0.6798640190980797,0.7552986512524085,0.7528777122497559,0.00020740251485476348,1.307370199999923
17,0.4048227311836349,0.6132539116807986,0.815028901734104,0.816667914390564,0.00019635254915624213,1.3429141000001437
18,0.3938601480589973,0.6328160256319653,0.8208092485549133,0.821942925453186,0.00018501680457838585,1.3627199000000019
19,0.3843037767542733,0.6052327470742669,0.8131021194605009,0.8153135180473328,0.00017346516975603465,1.3214898000001085
20,0.3774750398264991,0.601842384692102,0.8265895953757225,0.8282678127288818,0.00016176886435917675,1.3405033999999887
21,0.3697514302200741,0.5924018923487507,0.815028901734104,0.817476212978363,0.00015,1.3383828999999423
22,0.3626912244492107,0.6081306056939568,0.8188824662813102,0.8201727867126465,0.00013823113564082325,1.3475055000001248
23,0.35656172119908863,0.614273344505729,0.8265895953757225,0.8276910781860352,0.00012653483024396538,1.329409799999894
24,0.348984414504634,0.5907649246254408,0.8304431599229287,0.8314463496208191,0.00011498319542161417,1.3103552000000036
25,0.3480774652626779,0.5991937584730013,0.8285163776493256,0.8304661512374878,0.00010364745084375787,1.3201622999999927
26,0.342598261932532,0.5942885068340338,0.8323699421965318,0.8342278003692627,9.259748514523652e-05,1.360989500000187
27,0.3303647082712915,0.5929858352637245,0.838150289017341,0.8396832942962646,8.190142503906796e-05,1.3218320999999378
28,0.3332827472024494,0.5903817333697354,0.8362235067437379,0.8375629186630249,7.162521529260765e-05,1.326678500000071
29,0.3364531414376365,0.5910564491055145,0.8323699421965318,0.8340141177177429,6.183221215612902e-05,1.3199621000001116
30,0.3324006009433005,0.5841217442973731,0.838150289017341,0.8398789167404175,5.258279275047245e-05,1.3629889000001185
31,0.33977197772926754,0.5878888465076513,0.8304431599229287,0.8318438529968262,4.393398282201786e-05,1.3247948000000633
32,0.33586934374438393,0.5828077131613142,0.8342967244701349,0.8360093832015991,3.5939105159995345e-05,1.3372820999998112
33,0.33030565165811115,0.5868080199798408,0.8362235067437379,0.837587296962738,2.8647450843757884e-05,1.356346399999893
34,0.3250545942121082,0.587210462387357,0.8362235067437379,0.8372126817703247,2.210397534688616e-05,1.3960391000000527
35,0.3291927178700765,0.5819143640282985,0.8362235067437379,0.8378835916519165,1.6349021371744823e-05,1.467739100000017
