epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,seconds
1,0.951924181646771,1.3032085201873485,0.3140655105973025,0.15933530032634735,0.0003,16.550008100000014
2,0.6404152206248708,0.8130441242559797,0.7032755298651252,0.6969701647758484,0.00029953760005996916,1.472881599999937
3,0.45125817755858105,0.5969442417396515,0.7861271676300579,0.7865961790084839,0.00029815325108927063,1.4957416000002013
4,0.3644557860162523,0.6159209688274847,0.7610789980732178,0.7609796524047852,0.0002958554880596515,1.516401999999971
5,0.3337417124874062,0.5731722594226256,0.791907514450867,0.7938176393508911,0.00029265847744427303,1.5211351999998897
6,0.31346799433231354,0.5257799957873505,0.8169556840077071,0.8169307112693787,0.000288581929876693,1.4851211000000148
7,0.30285943961805767,0.6534884162031847,0.7687861271676301,0.759833037853241,0.0002836509786282552,1.489221499999985
8,0.2913643970257706,0.5008495221477942,0.8169556840077071,0.8156692385673523,0.00027789602465311383,1.4818359000000783
9,0.26956266288956005,0.44067789335701046,0.859344894026975,0.8591241240501404,0.0002713525491562421,1.49307019999992
10,0.2580215508739154,0.5501610041813124,0.8285163776493256,0.8252149820327759,0.00026406089484000466,1.485051599999906
11,0.25597868942552143,0.5048075162147052,0.838150289017341,0.8379728198051453,0.0002560660171779821,1.4962914000000183
12,0.2409102577302191,0.45868444546109677,0.8689788053949904,0.8689149618148804,0.0002474172072495276,1.513338499999918
13,0.2377078313794401,0.4788413779354279,0.8670520231213873,0.8674336671829224,0.000238167787843871,1.4746852000000672
14,0.23959437881906828,0.42332891852869464,0.8998073217726397,0.9001606702804565,0.00022837478470739232,1.482901399999946
15,0.23337194157971275,0.4814009553320376,0.861271676300578,0.8588764667510986,0.000218098574960932,1.476547200000141
16,0.22548357397317886,0.4908762900643266,0.8458574181117534,0.8439353704452515,0.00020740251485476348,1.4864665999998579
17,0.21843676848544014,0.447358868427589,0.8670520231213873,0.8656753897666931,0.00019635254915624213,1.5216226999998526
18,0.22030703392293718,0.4633176377283585,0.859344894026975,0.8573774099349976,0.00018501680457838585,1.4634687000000213
19,0.22174759126371807,0.342515305861802,0.9210019267822736,0.9206255674362183,0.00017346516975603465,1.503459299999804
20,0.2147029029826323,0.40047064096252355,0.9075144508670521,0.9065002202987671,0.00016176886435917675,1.4792761999999584
21,0.21243497770693567,0.46439462765218664,0.8689788053949904,0.8673827052116394,0.00015,1.4825160999998843
22,0.21061885522471535,0.44111587173217526,0.884393063583815,0.8811193704605103,0.00013823113564082325,1.487796200000048
23,0.20893066252271333,0.4601978417306507,0.8747591522157996,0.8729267120361328,0.00012653483024396538,1.5023063000001002
24,0.20578801507751146,0.4647234991795755,0.8670520231213873,0.8680233955383301,0.00011498319542161417,1.5166569999998956
25,0.20827488808168304,0.4725108499816387,0.8747591522157996,0.8743069171905518,0.00010364745084375787,1.4814535000000433
26,0.20414868079953724,0.4330283708884767,0.8901734104046243,0.8884879350662231,9.259748514523652e-05,1.4728424000002178
27,0.20278218595518005,0.5298258069622723,0.8554913294797688,0.8530372381210327,8.190142503906796e-05,1.477342500000077
