species,real_time_gradient_energy,real_frequency_gradient_energy,generated_time_gradient_energy,generated_frequency_gradient_energy,time_detail_ratio,frequency_detail_ratio
Northern Cardinal,0.2863071358498232,0.20124850072610526,0.23197923880070448,0.11579654086381197,0.8102460950270713,0.5753908250049946
Song Sparrow,0.2725439531790031,0.21046563475341587,0.22711153700947762,0.10901816748082638,0.8333024246563046,0.5179855970717187
American Robin,0.24709100065560177,0.1950769407995816,0.1902682837098837,0.10659488337114453,0.7700332395961348,0.5464248256827963
