generator,selected_ratio_per_species,real_subset_seed,train_seed,pool_seed,accuracy_baseline,accuracy_synthetic,delta_accuracy,macro_f1_baseline,macro_f1_synthetic,delta_macro_f1,recall_american_robin_baseline,recall_american_robin_synthetic,delta_recall_american_robin,recall_northern_cardinal_baseline,recall_northern_cardinal_synthetic,delta_recall_northern_cardinal,recall_song_sparrow_baseline,recall_song_sparrow_synthetic,delta_recall_song_sparrow,minimum_species_recall_baseline,minimum_species_recall_synthetic,delta_minimum_species_recall
vae_v3,200,101,42,42.0,0.8343558282208589,0.8834355828220859,0.049079754601227044,0.8363424469129047,0.8853526054569505,0.04901015854404578,0.8758620689655172,0.9103448275862069,0.034482758620689724,0.7222222222222222,0.8580246913580247,0.13580246913580252,0.9010989010989011,0.8846153846153846,-0.016483516483516536,0.7222222222222222,0.8580246913580247,0.13580246913580252
vae_v3,200,101,123,123.0,0.8384458077709611,0.8834355828220859,0.04498977505112478,0.8373893292541602,0.8843850605970786,0.046995731342918345,0.8827586206896552,0.9517241379310345,0.06896551724137934,0.6790123456790124,0.8580246913580247,0.17901234567901236,0.945054945054945,0.8516483516483516,-0.09340659340659341,0.6790123456790124,0.8516483516483516,0.17263600596933926
vae_v3,200,101,777,777.0,0.8404907975460123,0.8711656441717791,0.030674846625766805,0.8389317220213596,0.8716438183516301,0.0327120963302705,0.8689655172413793,0.9172413793103448,0.0482758620689655,0.7037037037037037,0.7839506172839507,0.08024691358024694,0.9395604395604396,0.9120879120879121,-0.027472527472527486,0.7037037037037037,0.7839506172839507,0.08024691358024694
vae_v3,200,202,42,123.0,0.8997955010224948,0.901840490797546,0.002044989775051187,0.8999845433456911,0.9024259915169006,0.0024414481712095037,0.9517241379310345,0.9586206896551724,0.006896551724137945,0.8641975308641975,0.8580246913580247,-0.006172839506172756,0.8901098901098901,0.8956043956043956,0.005494505494505586,0.8641975308641975,0.8580246913580247,-0.006172839506172756
vae_v3,200,202,123,777.0,0.8548057259713702,0.869120654396728,0.014314928425357865,0.8562628505633687,0.8686149906890129,0.012352140125644229,0.8551724137931035,0.9586206896551724,0.10344827586206895,0.8024691358024691,0.7962962962962963,-0.006172839506172867,0.9010989010989011,0.8626373626373627,-0.038461538461538436,0.8024691358024691,0.7962962962962963,-0.006172839506172867
vae_v3,200,202,777,42.0,0.8139059304703476,0.885480572597137,0.07157464212678932,0.8101803932219935,0.8858001485194468,0.07561975529745324,0.9517241379310345,0.9448275862068966,-0.006896551724137945,0.6481481481481481,0.8703703703703703,0.2222222222222222,0.8516483516483516,0.8516483516483516,0.0,0.6481481481481481,0.8516483516483516,0.20350020350020348
vae_v3,200,303,42,777.0,0.8588957055214724,0.8568507157464212,-0.002044989775051187,0.8597504187789462,0.8575255315586808,-0.0022248872202653702,0.9172413793103448,0.9448275862068966,0.02758620689655178,0.8148148148148148,0.7962962962962963,-0.01851851851851849,0.8516483516483516,0.8406593406593407,-0.01098901098901095,0.8148148148148148,0.7962962962962963,-0.01851851851851849
vae_v3,200,303,123,42.0,0.8568507157464212,0.8711656441717791,0.014314928425357865,0.8581166594482185,0.8699199248108238,0.011803265362605342,0.9241379310344827,0.9448275862068966,0.020689655172413834,0.8209876543209876,0.7839506172839507,-0.03703703703703698,0.8351648351648352,0.8901098901098901,0.05494505494505486,0.8209876543209876,0.7839506172839507,-0.03703703703703698
vae_v3,200,303,777,123.0,0.8323108384458078,0.8650306748466258,0.03271983640081799,0.83071718258639,0.8660031744073443,0.035285991820954266,0.9241379310344827,0.9448275862068966,0.020689655172413834,0.7283950617283951,0.7716049382716049,0.043209876543209846,0.8516483516483516,0.8846153846153846,0.03296703296703296,0.7283950617283951,0.7716049382716049,0.043209876543209846
diffusion,200,101,42,42.0,0.8343558282208589,0.8261758691206544,-0.008179959100204415,0.8363424469129047,0.8242643221158223,-0.012078124797082368,0.8758620689655172,0.9655172413793104,0.08965517241379317,0.7222222222222222,0.6481481481481481,-0.07407407407407407,0.9010989010989011,0.8736263736263736,-0.027472527472527486,0.7222222222222222,0.6481481481481481,-0.07407407407407407
diffusion,200,101,123,123.0,0.8384458077709611,0.8568507157464212,0.018404907975460127,0.8373893292541602,0.8579084122336718,0.02051908297951155,0.8827586206896552,0.8827586206896552,0.0,0.6790123456790124,0.8333333333333334,0.154320987654321,0.945054945054945,0.8571428571428571,-0.08791208791208793,0.6790123456790124,0.8333333333333334,0.154320987654321
diffusion,200,101,777,777.0,0.8404907975460123,0.8650306748466258,0.024539877300613466,0.8389317220213596,0.8648456093597159,0.025913887338356312,0.8689655172413793,0.896551724137931,0.02758620689655178,0.7037037037037037,0.8271604938271605,0.12345679012345678,0.9395604395604396,0.8736263736263736,-0.06593406593406592,0.7037037037037037,0.8271604938271605,0.12345679012345678
diffusion,200,202,42,123.0,0.8997955010224948,0.8813905930470347,-0.018404907975460127,0.8999845433456911,0.8810124641363054,-0.018972079209385706,0.9517241379310345,0.903448275862069,-0.0482758620689655,0.8641975308641975,0.8395061728395061,-0.024691358024691357,0.8901098901098901,0.9010989010989011,0.010989010989011061,0.8641975308641975,0.8395061728395061,-0.024691358024691357
diffusion,200,202,123,777.0,0.8548057259713702,0.8548057259713702,0.0,0.8562628505633687,0.8543135703713137,-0.0019492801920549807,0.8551724137931035,0.8620689655172413,0.006896551724137834,0.8024691358024691,0.845679012345679,0.043209876543209846,0.9010989010989011,0.8571428571428571,-0.04395604395604402,0.8024691358024691,0.845679012345679,0.043209876543209846
diffusion,200,202,777,42.0,0.8139059304703476,0.8425357873210634,0.02862985685071573,0.8101803932219935,0.8365156046315466,0.026335211409553083,0.9517241379310345,0.9724137931034482,0.020689655172413723,0.6481481481481481,0.6481481481481481,0.0,0.8516483516483516,0.9120879120879121,0.06043956043956045,0.6481481481481481,0.6481481481481481,0.0
diffusion,200,303,42,777.0,0.8588957055214724,0.8711656441717791,0.012269938650306678,0.8597504187789462,0.8717855279395078,0.012035109160561608,0.9172413793103448,0.8689655172413793,-0.0482758620689655,0.8148148148148148,0.8518518518518519,0.03703703703703709,0.8516483516483516,0.8901098901098901,0.038461538461538436,0.8148148148148148,0.8518518518518519,0.03703703703703709
diffusion,200,303,123,42.0,0.8568507157464212,0.8118609406952966,-0.04498977505112467,0.8581166594482185,0.8140593345886048,-0.04405732485961367,0.9241379310344827,0.9241379310344827,0.0,0.8209876543209876,0.7098765432098766,-0.11111111111111105,0.8351648351648352,0.8131868131868132,-0.02197802197802201,0.8209876543209876,0.7098765432098766,-0.11111111111111105
diffusion,200,303,777,123.0,0.8323108384458078,0.8609406952965235,0.02862985685071573,0.83071718258639,0.8607612761122115,0.03004409352582149,0.9241379310344827,0.9241379310344827,0.0,0.7283950617283951,0.7962962962962963,0.0679012345679012,0.8516483516483516,0.8681318681318682,0.016483516483516536,0.7283950617283951,0.7962962962962963,0.0679012345679012
