generator,selected_ratio_per_species,paired_blocks,delta_accuracy_mean,delta_accuracy_sample_sd,delta_accuracy_min,delta_accuracy_max,delta_accuracy_bootstrap_95_low,delta_accuracy_bootstrap_95_high,delta_accuracy_positive_blocks,delta_macro_f1_mean,delta_macro_f1_sample_sd,delta_macro_f1_min,delta_macro_f1_max,delta_macro_f1_bootstrap_95_low,delta_macro_f1_bootstrap_95_high,delta_macro_f1_positive_blocks,delta_minimum_species_recall_mean,delta_minimum_species_recall_sample_sd,delta_minimum_species_recall_min,delta_minimum_species_recall_max,delta_minimum_species_recall_bootstrap_95_low,delta_minimum_species_recall_bootstrap_95_high,delta_minimum_species_recall_positive_blocks
diffusion,200,9,0.004544421722335835,0.02493667310680344,-0.04498977505112467,0.02862985685071573,-0.011361054305839557,0.018632129061576876,5,0.004198952817296369,0.025312014696391574,-0.04405732485961367,0.03004409352582149,-0.01187950881174134,0.018545314575587148,5,0.024005486968449938,0.08671930252216672,-0.11111111111111105,0.154320987654321,-0.02880658436213991,0.07613168724279837,5
vae_v3,200,9,0.028629856850715743,0.02400142043825256,-0.002044989775051187,0.07157464212678932,0.014536468984321713,0.043626448534424,8,0.029332855530537313,0.025502891430103532,-0.0022248872202653702,0.07561975529745324,0.014252649136569172,0.04541877876333522,8,0.06305491490676678,0.0894232069052343,-0.03703703703703698,0.20350020350020348,0.009579583653657754,0.11995960144108292,5
