epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,seconds
1,1.1331360008981493,1.1061662770879521,0.3140655105973025,0.15933530032634735,0.0003,23.182440499999984
2,1.0773029923439026,1.0219588128128492,0.5510597302504817,0.5483578443527222,0.00029953760005996916,1.396083200000021
3,1.0185351835356817,0.9535045614591683,0.5414258188824663,0.5446100234985352,0.00029815325108927063,1.3160678000001553
4,0.9528793195883433,0.9217107160472686,0.5857418111753372,0.5678501129150391,0.0002958554880596515,1.3290452000001096
5,0.8866768860154681,0.8625587959969434,0.653179190751445,0.6563656330108643,0.00029265847744427303,1.3644100999999864
6,0.7945678896374173,0.8262796695981182,0.6628131021194605,0.6606404781341553,0.000288581929876693,1.3659975999999006
7,0.7218460639317831,0.7753216408351024,0.6763005780346821,0.6755484342575073,0.0002836509786282552,1.3851711999998315
8,0.645539119011826,0.7390427894904664,0.697495183044316,0.6945972442626953,0.00027789602465311383,1.1829995999999028
9,0.5944615999857584,0.7453586152523239,0.7148362235067437,0.7090463638305664,0.0002713525491562421,1.1060175999998592
10,0.5581856518983841,0.7056668197488509,0.7321772639691715,0.7323917150497437,0.00026406089484000466,1.2098691000001054
11,0.512334369122982,0.6977154303607683,0.7321772639691715,0.7320718169212341,0.0002560660171779821,1.3959231999999702
12,0.48781926598813796,0.7122421173920751,0.7456647398843931,0.7436341047286987,0.0002474172072495276,1.434233999999833
13,0.459673704372512,0.6926465877448433,0.7321772639691715,0.7325009703636169,0.000238167787843871,1.4106979000000592
14,0.4309445809986856,0.674713055063075,0.7398843930635838,0.7402491569519043,0.00022837478470739232,1.3589443000000756
15,0.432998721798261,0.6702154326990161,0.7514450867052023,0.7497863173484802,0.000218098574960932,1.3400908999999501
16,0.4144074395298958,0.6863870438123714,0.7649325626204239,0.7595672011375427,0.00020740251485476348,1.3586778999999751
17,0.40251970208353466,0.6566897448087703,0.7495183044315993,0.748665452003479,0.00019635254915624213,1.345529200000101
18,0.3806090023782518,0.6693444628706328,0.7572254335260116,0.7555601000785828,0.00018501680457838585,1.4025925999999345
19,0.3780808755093151,0.6540256276985125,0.7610789980732178,0.7607892751693726,0.00017346516975603465,1.343137600000091
20,0.38099030156930286,0.6494369909942495,0.7533718689788054,0.7529915571212769,0.00016176886435917675,1.3425618999999642
21,0.3788400623533461,0.6404616622566488,0.7552986512524085,0.7535316348075867,0.00015,1.325485700000172
22,0.3668581230772866,0.6479519646406633,0.7726396917148363,0.7700554728507996,0.00013823113564082325,1.3501842999999099
23,0.3609585132863786,0.6539586151955444,0.7764932562620424,0.7730574011802673,0.00012653483024396538,1.3342462000000523
24,0.3512817695736885,0.6444492750085158,0.7764932562620424,0.7732524871826172,0.00011498319542161417,1.3237598000000617
25,0.3393089531196488,0.6346943416347394,0.766859344894027,0.7644495964050293,0.00010364745084375787,1.3222330999999485
26,0.3451336829198731,0.6242054374691149,0.7784200385356455,0.7767294645309448,9.259748514523652e-05,1.3463447999999971
27,0.3413916081190109,0.6596549907860728,0.7726396917148363,0.7686886787414551,8.190142503906796e-05,1.3038030999998682
28,0.3375738138953845,0.6407961979766802,0.7784200385356455,0.7763328552246094,7.162521529260765e-05,1.3375987000001714
29,0.33802493082152474,0.6518946122916448,0.7745664739884393,0.7711371779441833,6.183221215612902e-05,1.364631700000018
30,0.3291486327846845,0.6476966610074273,0.7764932562620424,0.7730118036270142,5.258279275047245e-05,1.3530961999999818
31,0.33355992121828926,0.6509800399429306,0.7803468208092486,0.7774991989135742,4.393398282201786e-05,1.3559445999999298
32,0.3303995732631948,0.6455747176227312,0.7784200385356455,0.7750791907310486,3.5939105159995345e-05,1.314338399999997
33,0.32280455115768647,0.6436774897207874,0.7822736030828517,0.7790319323539734,2.8647450843757884e-05,1.3214685999998892
34,0.330027779771222,0.6346715835707266,0.7861271676300579,0.7836474180221558,2.210397534688616e-05,1.3222441999998864
35,0.31779849777619046,0.6377600457282425,0.7822736030828517,0.7797302007675171,1.6349021371744823e-05,1.355721399999993
36,0.32807687090502846,0.6352794678569529,0.7822736030828517,0.7798833847045898,1.1418070123306984e-05,1.3371048999999857
37,0.3173702553742462,0.6356619737740886,0.7842003853564548,0.781644344329834,7.3415225557269666e-06,1.298835299999837
38,0.31816395703289246,0.6388289486856589,0.7822736030828517,0.7796809077262878,4.144511940348515e-06,1.352299099999982
39,0.33123325059811276,0.6447688520299217,0.7803468208092486,0.7776894569396973,1.8467489107293504e-06,1.3070565999998962
40,0.3280435676376025,0.6319517291120481,0.7822736030828517,0.779816746711731,4.623999400308053e-07,1.3283974999999373
