model,seed,classifier,species,target_label_accuracy,species_recall,species_f1,macro_f1,mean_confidence,mean_entropy,exact_train_duplicate_count,pool_unique_count,frechet_mean,frechet_std,frechet_min,frechet_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,density_mean,density_std,density_min,density_max,coverage_mean,coverage_std,coverage_min,coverage_max,generated_diversity_mean,generated_diversity_std,generated_diversity_min,generated_diversity_max,real_diversity_mean,real_diversity_std,real_diversity_min,real_diversity_max,diversity_ratio_mean,diversity_ratio_std,diversity_ratio_min,diversity_ratio_max,diversity_delta_mean,diversity_delta_std,diversity_delta_min,diversity_delta_max,resamples,sample_size,real_time_gradient_energy,real_frequency_gradient_energy,real_dynamic_range,real_active_bin_fraction,real_pixel_mean,real_pixel_std,generated_time_gradient_energy,generated_frequency_gradient_energy,generated_dynamic_range,generated_active_bin_fraction,generated_pixel_mean,generated_pixel_std,pixel_distribution_wasserstein,pixel_mean_delta,pixel_std_delta
vae_v3,42,crnn,American Robin,1.0,1.0,0.970873786407767,0.9631067627555089,0.9408240914344788,0.2160448133945465,0,600,13.820335708240084,1.3660396160523776,8.750532570077771,16.778413557959535,0.7505859375,0.036188540885506194,0.65625,0.8515625,0.86546875,0.02660795512161295,0.7890625,0.921875,0.49075,0.03475738099914316,0.3953125,0.58125,0.6680859375,0.03329314807993842,0.546875,0.7578125,8.363057006933957,0.18351820257967003,7.845241006505624,8.82075593275706,9.731060828064201,0.17130161779357975,8.999247108149808,10.043935400007593,0.8596620600203906,0.023345333829658168,0.7953639112688722,0.9312412624541283,-1.3680038211302452,0.24136358965452695,-2.0467100948411234,-0.6187768700197172,200,128,0.09239374101161957,0.06993505358695984,1.965071439743042,0.8635573814655172,-0.40093982219696045,0.3748542070388794,0.07542058080434799,0.040763843804597855,1.974983811378479,0.899371337890625,-0.3044581711292267,0.378547340631485,0.09721015155315393,0.09648165106773376,0.003693133592605591
vae_v3,42,crnn,Northern Cardinal,0.97,0.97,0.9724310776942355,0.9631067627555089,0.9408240914344788,0.2160448133945465,0,600,42.97483027013183,6.928362507557932,26.427571432179555,64.69917172496429,0.92125,0.021195360028700413,0.8671875,0.96875,0.934296875,0.038823783777387565,0.8359375,0.9921875,0.7229218749999999,0.04704119146710785,0.615625,0.8703125,0.7246875,0.04167415787976329,0.609375,0.8515625,11.326106170332608,0.3232256044555966,10.031328179349657,12.066574966854203,14.689960044822678,0.2522233898755813,14.004194437481232,15.341000606321506,0.7712766231222092,0.026808956510047284,0.6751703752346774,0.824716777107745,-3.36385387449007,0.4310141113321666,-4.826148610657523,-2.4684126405604125,200,128,0.10772064328193665,0.07214684784412384,1.963108777999878,0.9208227086950231,-0.2649890184402466,0.38663268089294434,0.08924732357263565,0.042542725801467896,1.9332424402236938,0.9553802490234375,-0.16725210845470428,0.3427390456199646,0.10439893280616928,0.0977369099855423,-0.043893635272979736
vae_v3,42,crnn,Song Sparrow,0.92,0.92,0.9460154241645244,0.9631067627555089,0.9408240914344788,0.2160448133945465,0,600,9.997280678210311,1.824178828625196,5.848297083273962,15.680568780719348,0.8835546875,0.025793649228272243,0.8046875,0.9453125,0.9273828125,0.021100183099150637,0.8515625,0.9765625,0.7575078125,0.04808930140811673,0.61875,0.875,0.8596484375,0.02950716248799277,0.78125,0.9296875,11.0336307640632,0.30217743657283846,10.245649186978243,11.758577739258648,11.246990108290026,0.3385243342409587,9.960559356853803,11.979264109082074,0.9818579675446106,0.03868242798474917,0.9040921486902795,1.1467589302276,-0.21335934422682712,0.43350273027174907,-1.1262334604809272,1.4618010356803754,200,128,0.10300274938344955,0.0745122954249382,1.8739871978759766,0.9624747810782966,-0.2249831110239029,0.3361722230911255,0.07770901918411255,0.04062499478459358,1.9407908916473389,0.8922152709960938,-0.26500755548477173,0.3787464201450348,0.043324961282990175,-0.040024444460868835,0.0425741970539093
vae_v3,123,crnn,American Robin,0.995,0.995,0.9590361445783132,0.9566116050638654,0.9377272725105286,0.22029627859592438,0,600,13.939969067518096,1.3915388927382448,8.896308237859376,17.683521386038944,0.7215234375,0.038734469876622275,0.6015625,0.8046875,0.9081640625,0.019681777043187243,0.8125,0.9453125,0.414453125,0.030620925627597037,0.33125,0.4921875,0.6419921875,0.030709816746344546,0.5390625,0.734375,8.553481513437951,0.2057885228274009,8.099919962686824,9.091108445082964,9.745044488540778,0.17946119026346755,9.167828180006074,10.094592599237142,0.8780144989822029,0.02632668544872878,0.8235876713918895,0.9459772343834447,-1.1915629751028254,0.26863634316415724,-1.7519762949423967,-0.5104385303467822,200,128,0.09239374101161957,0.06993505358695984,1.965071439743042,0.8635573814655172,-0.40093982219696045,0.3748542070388794,0.07530719041824341,0.04105651378631592,1.9744579792022705,0.9081585693359375,-0.29419586062431335,0.37430688738822937,0.10755289532319458,0.1067439615726471,-0.0005473196506500244
vae_v3,123,crnn,Northern Cardinal,0.95,0.95,0.9669211195928753,0.9566116050638654,0.9377272725105286,0.22029627859592438,0,600,33.467107474514506,4.773774109789328,19.229131401789406,47.144635861049274,0.893359375,0.02639489038243727,0.8046875,0.953125,0.940859375,0.03628648892929646,0.84375,0.9921875,0.694921875,0.04687127026618977,0.5578125,0.809375,0.741640625,0.03801202149154585,0.6328125,0.8515625,12.113877121877335,0.30505867803186776,11.314243305072019,12.709022119315792,14.710953095142223,0.23477578451812356,14.046207943271414,15.310751910674105,0.8236607128975755,0.024336667308890975,0.761680437989346,0.8806287284415505,-2.597075973264889,0.37947759698457667,-3.5408733444910983,-1.6767137027627026,200,128,0.10772064328193665,0.07214684784412384,1.963108777999878,0.9208227086950231,-0.2649890184402466,0.38663268089294434,0.08707113564014435,0.04205155745148659,1.9363043308258057,0.955477294921875,-0.1885729730129242,0.3433491289615631,0.08311731739477679,0.07641604542732239,-0.043283551931381226
vae_v3,123,crnn,Song Sparrow,0.925,0.925,0.9438775510204082,0.9566116050638654,0.9377272725105286,0.22029627859592438,0,600,13.152979845412721,2.123745761181755,7.793146290279941,21.288538527231125,0.9132421875,0.025874380907964657,0.8125,0.96875,0.9012890625,0.029306910446204544,0.78125,0.9609375,0.7538203124999999,0.049251348306887245,0.5921875,0.86875,0.829375,0.0338274400041768,0.734375,0.90625,11.00138148287641,0.3142090150367225,9.989607189942744,11.879229069558228,11.258260889942196,0.3274817308782784,10.464872975545621,12.066991232125334,0.9779775455166069,0.03910485696652331,0.8542922784942472,1.0719045939564953,-0.2568794070657871,0.445062621287123,-1.7038230814277995,0.7705093408644643,200,128,0.10300274938344955,0.0745122954249382,1.8739871978759766,0.9624747810782966,-0.2249831110239029,0.3361722230911255,0.0773765966296196,0.04070635885000229,1.9410611391067505,0.890406494140625,-0.2886367440223694,0.38273462653160095,0.06857459462050235,-0.06365363299846649,0.046562403440475464
vae_v3,777,crnn,American Robin,0.995,0.995,0.9802955665024631,0.9799892214551719,0.943584680557251,0.21398097276687622,0,600,13.650042684566628,1.5054753591108707,8.160433088616985,16.65003883823339,0.7859375,0.03589121309089007,0.671875,0.875,0.8366015625,0.030673241307594367,0.7578125,0.921875,0.52053125,0.03435037948814976,0.409375,0.6265625,0.688359375,0.03222404329558838,0.6171875,0.78125,8.365566777400405,0.1782741429287621,7.849043975850555,8.892090029689177,9.715201764929287,0.19969832942375157,9.022753468668656,10.070077649717636,0.8614297456726117,0.025099578869041385,0.7997946614239024,0.9702930823678161,-1.3496349875288813,0.2605772520869448,-1.9854600495430041,-0.26803819410924135,200,128,0.09239374101161957,0.06993505358695984,1.965071439743042,0.8635573814655172,-0.40093982219696045,0.3748542070388794,0.07591370493173599,0.04131072014570236,1.9718430042266846,0.9066769409179688,-0.31414198875427246,0.36343562602996826,0.08749162330771931,0.08679783344268799,-0.011418581008911133
vae_v3,777,crnn,Northern Cardinal,0.98,0.98,0.9849246231155779,0.9799892214551719,0.943584680557251,0.21398097276687622,0,600,52.36173239901284,5.225617770392712,40.29780601829877,67.8830290587899,0.90390625,0.029998086072742014,0.8046875,0.96875,0.843515625,0.03092352626529317,0.703125,0.8984375,0.693171875,0.04305672384060713,0.5890625,0.7859375,0.6852734375,0.03576603784096795,0.609375,0.7734375,11.189466960293558,0.2126369159051168,10.494223066846045,11.743663342230862,14.712203468706951,0.20003139351661184,14.178747930583157,15.381774364747354,0.7606762231688677,0.016907714026584444,0.7185114247648778,0.8091560961794991,-3.5227365084133937,0.2758993424056467,-4.203283533466516,-2.7345310388303155,200,128,0.10772064328193665,0.07214684784412384,1.963108777999878,0.9208227086950231,-0.2649890184402466,0.38663268089294434,0.08676471561193466,0.04324277862906456,1.9403622150421143,0.9531503295898438,-0.19644545018672943,0.3396163284778595,0.08253939028942228,0.06854356825351715,-0.04701635241508484
vae_v3,777,crnn,Song Sparrow,0.965,0.965,0.9747474747474747,0.9799892214551719,0.943584680557251,0.21398097276687622,0,600,12.691150196369758,2.3716438952066428,7.5097161866282605,21.97699504902518,0.901484375,0.02620877861623178,0.796875,0.953125,0.91765625,0.029292909593445115,0.8125,0.9765625,0.732765625,0.04994203759942406,0.60625,0.959375,0.8383984375,0.036573308831328095,0.7421875,0.9296875,10.49638244970809,0.2858223545308135,9.706446833543794,11.161546408552853,11.267015996891764,0.2924121980256439,10.298808025211367,11.985018615315687,0.9321881617550213,0.03398687477435119,0.8319583341893336,1.037529006856872,-0.7706335471836746,0.3963828346484622,-2.0002967900620465,0.40373015976570237,200,128,0.10300274938344955,0.0745122954249382,1.8739871978759766,0.9624747810782966,-0.2249831110239029,0.3361722230911255,0.07859364151954651,0.040527116507291794,1.9436273574829102,0.9134451293945313,-0.2515946924686432,0.37276822328567505,0.034275332839802046,-0.026611581444740295,0.03659600019454956
diffusion,42,crnn,American Robin,0.94,0.94,0.9330024813895782,0.9148398259460272,0.9237862229347229,0.24552378058433533,0,600,31.01963662376801,2.0551389366796258,24.94141666198888,36.741343382016694,0.467734375,0.032569786852618486,0.3828125,0.546875,0.8480078125,0.033511868665494625,0.734375,0.9140625,0.246484375,0.022429239260189568,0.1953125,0.3171875,0.4561328125,0.0340194529047468,0.3515625,0.5390625,10.324934441308601,0.3251239323174326,9.38288585807073,11.09300752161323,9.731060828064201,0.17130161779357975,8.999247108149808,10.043935400007593,1.06133114029176,0.037540055374194845,0.9726321036147786,1.1658569915009422,0.5938736132444007,0.35975144220263244,-0.264015393902465,1.492588051131282,200,128,0.09239374101161957,0.06993505358695984,1.965071439743042,0.8635573814655172,-0.40093982219696045,0.3748542070388794,0.0781949833035469,0.06054399907588959,1.9614452123641968,0.7206671142578125,-0.31012097001075745,0.5621060132980347,0.19429627107249364,0.090818852186203,0.18725180625915527
