generator,selected_ratio_per_species,real_subset_seed,train_seed,pool_seed,accuracy_baseline,accuracy_synthetic,delta_accuracy,macro_f1_baseline,macro_f1_synthetic,delta_macro_f1,recall_american_robin_baseline,recall_american_robin_synthetic,delta_recall_american_robin,recall_northern_cardinal_baseline,recall_northern_cardinal_synthetic,delta_recall_northern_cardinal,recall_song_sparrow_baseline,recall_song_sparrow_synthetic,delta_recall_song_sparrow,minimum_species_recall_baseline,minimum_species_recall_synthetic,delta_minimum_species_recall
vae_v3,200,101,42,42.0,0.8343558282208589,0.8977505112474438,0.06339468302658491,0.8363424469129047,0.9003326326098152,0.0639901856969105,0.8758620689655172,0.9379310344827586,0.06206896551724139,0.7222222222222222,0.8703703703703703,0.14814814814814814,0.9010989010989011,0.8901098901098901,-0.010989010989011061,0.7222222222222222,0.8703703703703703,0.14814814814814814
vae_v3,200,101,123,123.0,0.8384458077709611,0.8588957055214724,0.020449897750511314,0.8373893292541602,0.8613273115554784,0.02393798230131816,0.8827586206896552,0.8896551724137931,0.006896551724137945,0.6790123456790124,0.8888888888888888,0.20987654320987648,0.945054945054945,0.8076923076923077,-0.13736263736263732,0.6790123456790124,0.8076923076923077,0.12867996201329535
vae_v3,200,101,777,777.0,0.8404907975460123,0.8711656441717791,0.030674846625766805,0.8389317220213596,0.8715515104295782,0.032619788408218664,0.8689655172413793,0.9448275862068966,0.07586206896551728,0.7037037037037037,0.7839506172839507,0.08024691358024694,0.9395604395604396,0.8901098901098901,-0.0494505494505495,0.7037037037037037,0.7839506172839507,0.08024691358024694
vae_v3,200,202,42,123.0,0.8997955010224948,0.8895705521472392,-0.010224948875255602,0.8999845433456911,0.8895551490133533,-0.010429394332337805,0.9517241379310345,0.9724137931034482,0.020689655172413723,0.8641975308641975,0.7901234567901234,-0.07407407407407407,0.8901098901098901,0.9120879120879121,0.02197802197802201,0.8641975308641975,0.7901234567901234,-0.07407407407407407
vae_v3,200,202,123,777.0,0.8548057259713702,0.885480572597137,0.030674846625766805,0.8562628505633687,0.8843172299049056,0.028054379341536873,0.8551724137931035,0.9379310344827586,0.08275862068965512,0.8024691358024691,0.7962962962962963,-0.006172839506172867,0.9010989010989011,0.9230769230769231,0.02197802197802201,0.8024691358024691,0.7962962962962963,-0.006172839506172867
vae_v3,200,202,777,42.0,0.8139059304703476,0.8916155419222904,0.07770961145194277,0.8101803932219935,0.8914783972293625,0.08129800400736897,0.9517241379310345,0.9655172413793104,0.01379310344827589,0.6481481481481481,0.8395061728395061,0.191358024691358,0.8516483516483516,0.8791208791208791,0.027472527472527486,0.6481481481481481,0.8395061728395061,0.191358024691358
vae_v3,200,303,42,777.0,0.8588957055214724,0.8670756646216768,0.008179959100204415,0.8597504187789462,0.8671262128039622,0.00737579402501598,0.9172413793103448,0.9724137931034482,0.05517241379310345,0.8148148148148148,0.8148148148148148,0.0,0.8516483516483516,0.8296703296703297,-0.0219780219780219,0.8148148148148148,0.8148148148148148,0.0
vae_v3,200,303,123,42.0,0.8568507157464212,0.8752556237218814,0.018404907975460127,0.8581166594482185,0.876500864492279,0.018384205044060575,0.9241379310344827,0.9448275862068966,0.020689655172413834,0.8209876543209876,0.8395061728395061,0.01851851851851849,0.8351648351648352,0.8516483516483516,0.016483516483516425,0.8209876543209876,0.8395061728395061,0.01851851851851849
vae_v3,200,303,777,123.0,0.8323108384458078,0.83640081799591,0.004089979550102263,0.83071718258639,0.8306896770528459,-2.750553354413654e-05,0.9241379310344827,0.9655172413793104,0.04137931034482767,0.7283950617283951,0.6234567901234568,-0.1049382716049383,0.8516483516483516,0.9230769230769231,0.07142857142857151,0.7283950617283951,0.6234567901234568,-0.1049382716049383
diffusion,200,101,42,42.0,0.8343558282208589,0.8486707566462167,0.014314928425357865,0.8363424469129047,0.8480164172516994,0.011673970338794692,0.8758620689655172,0.8620689655172413,-0.01379310344827589,0.7222222222222222,0.7654320987654321,0.043209876543209846,0.9010989010989011,0.9120879120879121,0.01098901098901095,0.7222222222222222,0.7654320987654321,0.043209876543209846
