generator,selected_ratio_per_species,paired_blocks,delta_accuracy_mean,delta_accuracy_sample_sd,delta_accuracy_min,delta_accuracy_max,delta_accuracy_bootstrap_95_low,delta_accuracy_bootstrap_95_high,delta_accuracy_positive_blocks,delta_macro_f1_mean,delta_macro_f1_sample_sd,delta_macro_f1_min,delta_macro_f1_max,delta_macro_f1_bootstrap_95_low,delta_macro_f1_bootstrap_95_high,delta_macro_f1_positive_blocks,delta_minimum_species_recall_mean,delta_minimum_species_recall_sample_sd,delta_minimum_species_recall_min,delta_minimum_species_recall_max,delta_minimum_species_recall_bootstrap_95_low,delta_minimum_species_recall_bootstrap_95_high,delta_minimum_species_recall_positive_blocks
diffusion,200,9,0.014087707339241065,0.021015800967236514,-0.018404907975460127,0.053169734151329195,0.0015905476028175406,0.027266530334014976,6,0.014569949177240464,0.022553851345378836,-0.018972079209385706,0.05751488288777429,0.0014706627504157267,0.028872157130423744,6,0.06940110643814348,0.06342252919492908,-0.024691358024691357,0.16049382716049387,0.03167499510092104,0.10849575664390482,8
vae_v3,200,9,0.0270393092478982,0.028072611154702123,-0.010224948875255602,0.07770961145194277,0.010679391047489198,0.04521699613724154,8,0.027244826550949754,0.029472156998119788,-0.010429394332337805,0.08129800400736897,0.010020770453630787,0.046472931898505494,7,0.042418486862931294,0.10139647657820118,-0.1049382716049383,0.191358024691358,-0.01999577925503852,0.10425899546269905,5
