architecture,runs,trainable_parameters,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,best_epoch_mean,training_seconds_total
crnn,3,404451,0.9055876685934489,0.013894224568261997,0.9044599731763204,0.014490827561609012,16.666666666666668,155.5994261000003
plain_cnn,3,1238691,0.9043031470777135,0.017376684981976493,0.9033025503158569,0.01762624933544026,14.0,156.1835905000005
residual_cnn,3,1661795,0.8754014129736672,0.009887478688722265,0.8743755420049032,0.009700932099864291,9.333333333333334,141.17545800000084
depthwise_cnn,3,137699,0.8163134232498394,0.02699787997043506,0.8167457580566406,0.029367265922622992,28.666666666666668,212.27203269999973
