model,seed,classifier,exact_train_duplicate_count,species,validation_threshold_quantile,copy_risk_threshold,generated_count,nearest_train_min,nearest_train_median,below_threshold_count,below_threshold_fraction
vae_v3,42,crnn,0,American Robin,0.05,2.064185292415126,200,1.5080264802557146,2.764824228774885,32,0.16
vae_v3,42,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,0.9860701568886957,2.761713212878079,93,0.465
vae_v3,42,crnn,0,Song Sparrow,0.05,2.48185324299246,200,0.8659328875696155,2.5544090381358844,92,0.46
vae_v3,123,crnn,0,American Robin,0.05,2.064185292415126,200,1.5451749693907229,2.836919249764802,36,0.18
vae_v3,123,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,0.9853492972925927,2.7786610868958737,95,0.475
vae_v3,123,crnn,0,Song Sparrow,0.05,2.48185324299246,200,1.0280197167787368,2.6557593288553774,88,0.44
vae_v3,777,crnn,0,American Robin,0.05,2.064185292415126,200,1.5664895875404066,2.880680113098864,33,0.165
vae_v3,777,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,0.9890428831116997,2.7103565887388257,98,0.49
vae_v3,777,crnn,0,Song Sparrow,0.05,2.48185324299246,200,0.8876328436328701,2.608783333565839,89,0.445
diffusion,42,crnn,0,American Robin,0.05,2.064185292415126,200,18.571793086937358,23.145458769116676,0,0.0
diffusion,42,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,6.138571379130702,8.080080089079974,0,0.0
diffusion,42,crnn,0,Song Sparrow,0.05,2.48185324299246,200,11.39736604913593,17.47605564882076,0,0.0
diffusion,123,crnn,0,American Robin,0.05,2.064185292415126,200,2.1875656945122266,3.796606007644687,0,0.0
diffusion,123,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,1.8790679745144878,4.225746035727761,12,0.06
diffusion,123,crnn,0,Song Sparrow,0.05,2.48185324299246,200,1.9462707728019524,4.318162103150973,4,0.02
diffusion,777,crnn,0,American Robin,0.05,2.064185292415126,200,2.241357552904446,4.190574256016242,0,0.0
diffusion,777,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,1.9700078339029992,4.058058976777893,13,0.065
diffusion,777,crnn,0,Song Sparrow,0.05,2.48185324299246,200,2.1516183415736148,4.276178809629349,3,0.015
vae_v3,42,residual,0,American Robin,0.05,7.317422612240055,200,3.78882679889864,9.385994866215162,11,0.055
vae_v3,42,residual,0,Northern Cardinal,0.05,8.96924904950722,200,6.317093310677067,10.02856494385692,50,0.25
vae_v3,42,residual,0,Song Sparrow,0.05,7.42731006575262,200,5.164941530763715,8.345570848822991,60,0.3
vae_v3,123,residual,0,American Robin,0.05,7.317422612240055,200,3.830231963591109,9.698930608475264,7,0.035
vae_v3,123,residual,0,Northern Cardinal,0.05,8.96924904950722,200,6.343666269275346,9.801112478713899,53,0.265
vae_v3,123,residual,0,Song Sparrow,0.05,7.42731006575262,200,5.162731407513686,8.165280011493527,59,0.295
vae_v3,777,residual,0,American Robin,0.05,7.317422612240055,200,3.8407140243605067,9.348967283037592,7,0.035
vae_v3,777,residual,0,Northern Cardinal,0.05,8.96924904950722,200,5.991454389988016,9.973023970235758,52,0.26
vae_v3,777,residual,0,Song Sparrow,0.05,7.42731006575262,200,5.162925262896697,8.251509478173428,53,0.265
diffusion,42,residual,0,American Robin,0.05,7.317422612240055,200,29.335622447323285,36.77657945290001,0,0.0
diffusion,42,residual,0,Northern Cardinal,0.05,8.96924904950722,200,17.591476000399553,21.215327919625693,0,0.0
diffusion,42,residual,0,Song Sparrow,0.05,7.42731006575262,200,26.30599516053748,35.03677474687643,0,0.0
diffusion,123,residual,0,American Robin,0.05,7.317422612240055,200,7.647190665974508,12.868114375789812,0,0.0
diffusion,123,residual,0,Northern Cardinal,0.05,8.96924904950722,200,6.189062292856748,12.226996452129058,9,0.045
diffusion,123,residual,0,Song Sparrow,0.05,7.42731006575262,200,5.861453240693401,13.228696283737776,8,0.04
diffusion,777,residual,0,American Robin,0.05,7.317422612240055,200,7.626307359783777,13.501008506354998,0,0.0
diffusion,777,residual,0,Northern Cardinal,0.05,8.96924904950722,200,7.163518606220979,12.23654597536978,8,0.04
diffusion,777,residual,0,Song Sparrow,0.05,7.42731006575262,200,5.428699423589406,13.040183529640252,11,0.055
