epoch,critic_loss,generator_loss,gradient_penalty,validation_gap,time_detail_ratio,frequency_detail_ratio,seconds
1,2.1354117291430903,-1.8087634463628677,0.7235749212957995,-0.9319957494735718,0.07372879981994629,0.27739250659942627,65.66469560000405
2,-0.8695319401074763,-10.8367484342562,0.19564775252644584,-0.396594292977277,0.3838709890842438,0.2504191994667053,14.884517999998934
3,-1.3320028396093682,-2.9506373197248537,0.12672732211290605,-7.601892362622654,2.311501979827881,0.44493719935417175,14.83445689999644
4,-2.5075856457426124,-14.634820861359165,0.1333531097218726,0.9260769731858218,1.0829304456710815,0.6755903959274292,14.900944100001652
5,-2.689346484533728,-6.232461281018715,0.15817892559076827,3.587461653001168,0.8397406935691833,0.6052969694137573,14.893640000002051
6,-4.209676214685179,-5.357611206194309,0.16690722826153856,4.157380328458899,0.956000566482544,0.7023406028747559,14.83680440000171
7,-4.019424872447367,-8.153657219589572,0.16761161032617602,8.51484203338623,0.8124412894248962,0.6154723763465881,14.811338999999862
8,-6.12785973675447,7.840597970844948,0.23157304316784624,26.998640404028052,0.6490381360054016,0.5592165589332581,14.927743699998246
9,-6.012857168096385,5.98351328666896,0.20242547218317855,2.3177373830009884,0.729931652545929,0.6653742790222168,15.432827800002997
10,-3.8245199206348968,-1.676039943956349,0.1894245813600719,6.536763582159491,1.1898311376571655,0.8250114917755127,13.508813100001134
11,-1.4014792997543126,-4.610609382799227,0.09645137437364112,1.9731540469562303,1.2192052602767944,0.8263104557991028,13.845892400000594
12,-0.34597006603463054,-1.7505622110138201,0.06793718910074398,1.8838018932763276,1.1756746768951416,0.9480382800102234,13.715186900000845
13,-0.14334158818811588,-4.7955482050980605,0.06119943153725503,-1.3602897752733796,0.9166905879974365,0.7168012857437134,13.60992090000218
14,-0.003455362958859091,-4.90600434435557,0.06344180007796887,-4.4871553533217465,0.7869822382926941,0.74810391664505,13.873471500002779
15,0.12778906365984108,-9.82124832476655,0.045782956773134535,0.328457103056067,1.1066163778305054,1.1548349857330322,14.410481700004311
16,0.5117561053229521,-16.57915752554593,0.036971037556761746,-0.08914686914752501,1.1521413326263428,1.0855355262756348,14.601787699997658
17,0.7807706193360564,-10.926928390378821,0.044378244495083104,-0.6521838132072899,1.018995761871338,1.1598581075668335,14.41275239999959
18,0.9814137685533664,-7.070780586706449,0.04228697245468526,0.9434102984035717,1.284599781036377,1.5856671333312988,14.03446139999869
19,1.134860102597573,5.179007130126431,0.04368081373921659,-0.7746034755426294,1.1935994625091553,1.5580049753189087,13.704959299997427
20,1.2897026083649021,2.8693319403961914,0.05163834191067782,-0.7490419158164194,0.9616196751594543,1.2814664840698242,13.505706500000088
