epoch,train_loss,validation_loss,lr,seconds
1,1.0399741232395172,1.00117938965559,0.0002,8.759708300000057
2,0.9963669255375862,0.9918626099824905,0.00019510565162951537,0.8870068999967771
3,0.9865643754601479,0.9822125360369682,0.00018090169943749473,0.9242662999968161
4,0.9732913970947266,0.9611731395125389,0.00015877852522924732,1.003167199996824
5,0.9454744756221771,0.9263683035969734,0.00013090169943749474,0.9331923999998253
6,0.910049207508564,0.890077643096447,9.999999999999999e-05,0.9338162999993074
7,0.8802360072731972,0.8663591369986534,6.909830056250526e-05,0.8880151999983354
8,0.8566232249140739,0.8528706058859825,4.122147477075269e-05,0.8891444999972009
9,0.8482775688171387,0.8451002612709999,1.9098300562505263e-05,0.8933630000028643
10,0.8431322202086449,0.840618297457695,4.894348370484646e-06,0.8721570999987307
