epoch,reconstruction_loss,vq_loss,generator_adversarial_loss,discriminator_loss,time_detail_ratio,frequency_detail_ratio,seconds
1,0.6529073789715767,0.8626692239195108,-0.293426513671875,2.3599853515625,1.440157413482666,2.1424808502197266,26.797288699999626
2,0.5844399929046631,0.4920860677957535,-0.7037734985351562,2.5904541015625,5.676267623901367,16.284969329833984,2.2807477000023937
3,0.49170365184545517,0.11444767471402884,0.09273529052734375,2.101318359375,1.013030767440796,2.592125415802002,2.146488300000783
4,0.4450816623866558,0.025831568520516157,-0.12060546875,1.8780517578125,0.6708352565765381,1.4890034198760986,2.0558703999995487
5,0.43591614812612534,0.06488588638603687,0.25128173828125,1.787353515625,0.424739271402359,0.8046254515647888,2.185199300001841
6,0.4426909610629082,0.18600465497002006,-0.04200291633605957,2.175048828125,0.9368253350257874,0.6058663725852966,2.1198962999988
7,0.4309980273246765,0.28960747038945556,0.1090850830078125,1.90380859375,0.4789533019065857,0.9993069171905518,2.1068857999998727
8,0.43234749510884285,4.002224087715149,0.436981201171875,1.8746337890625,0.08283843845129013,0.1572936475276947,2.208008699999482
9,0.419020127505064,2.5927233807742596,0.1493682861328125,1.777099609375,0.29724353551864624,0.5324524641036987,2.234046899997338
10,0.4587971791625023,0.20771791227161884,0.17190933227539062,1.9312744140625,0.6432315111160278,0.7923780679702759,2.3158992000026046
