epoch,train_nll,validation_nll,lr,seconds
1,4.195061266422272,2.9491398483514786,0.0002,5.787027300000773
2,2.57592311501503,2.316351443529129,0.00019876883405951377,0.8783454000003985
3,2.125006392598152,2.0189093351364136,0.00019510565162951537,0.8772242999984883
4,1.8233353793621063,1.8449836671352386,0.0001891006524188368,0.8711098999992828
5,1.6443353593349457,1.7492837607860565,0.00018090169943749476,0.8907261999993352
6,1.612950786948204,1.695295512676239,0.00017071067811865476,0.8657691000043997
7,1.5124094188213348,1.643532171845436,0.00015877852522924732,0.8660633999970742
8,1.4497438669204712,1.6094000488519669,0.00014539904997395468,0.8732567999977618
9,1.446444347500801,1.5865591168403625,0.00013090169943749476,0.881318799998553
10,1.519096091389656,1.5660998672246933,0.00011564344650402312,0.8906407999966177
11,1.5272180438041687,1.5494792461395264,0.00010000000000000002,0.8698819000055664
12,1.419800877571106,1.5427765101194382,8.435655349597696e-05,0.9087558000028366
13,1.3835135698318481,1.5339459627866745,6.909830056250529e-05,0.8748750000013388
14,1.4043128192424774,1.5269533917307854,5.460095002604534e-05,0.8834616000021924
15,1.4032794386148453,1.5199083164334297,4.122147477075271e-05,0.8694787999993423
16,1.3573884665966034,1.5144293308258057,2.928932188134526e-05,0.8629086000000825
17,1.3838148266077042,1.5127813071012497,1.909830056250527e-05,0.8915965999985929
18,1.3647977411746979,1.5119244903326035,1.0899347581163223e-05,0.8660090999983368
19,1.4033307880163193,1.5113965570926666,4.8943483704846475e-06,0.9065743999963161
20,1.3921213448047638,1.5111191645264626,1.2311659404862343e-06,0.9999674999999115
