epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,seconds
1,1.0085627502865262,1.2152941112114055,0.35067437379576105,0.2319084107875824,0.0003,22.15382590000013
2,0.6590352886252933,0.5951572846126005,0.7707129094412332,0.7708691954612732,0.00029953760005996916,1.4125495000000683
3,0.43549346592691207,0.7841282600612309,0.6994219653179191,0.6571383476257324,0.00029815325108927063,1.3987187999998696
4,0.36294280820422703,0.7296246009984687,0.7861271676300579,0.7867069244384766,0.0002958554880596515,1.4073197000000164
5,0.33217022609379554,0.5138557779536311,0.8323699421965318,0.8302091360092163,0.00029265847744427303,1.3984877000000324
6,0.3092803429398272,0.5612001424235415,0.8092485549132948,0.8093842267990112,0.000288581929876693,1.4380158999999821
7,0.2901148767107063,0.5136303589293493,0.8265895953757225,0.8237599730491638,0.0002836509786282552,1.4250527000001512
8,0.2701895336310069,0.5103599053586838,0.8477842003853564,0.84754478931427,0.00027789602465311383,1.4116758000000118
9,0.2559304932753245,0.5130591387923283,0.8188824662813102,0.8162207007408142,0.0002713525491562421,1.3843904000000293
10,0.24494119568003547,0.47399336685335014,0.861271676300578,0.8594593405723572,0.00026406089484000466,1.3864492000000155
11,0.2576796416607168,0.46273625442517746,0.8439306358381503,0.8426763415336609,0.0002560660171779821,1.4067245999999614
12,0.2347120108703772,0.4998957298853953,0.8574181117533719,0.8563563823699951,0.0002474172072495276,1.3657508999999664
13,0.22723115359743437,0.5365835876708316,0.815028901734104,0.8125318884849548,0.000238167787843871,1.3847011000000293
14,0.21978876491387686,0.4985072307274291,0.8651252408477842,0.8638500571250916,0.00022837478470739232,1.3728512000000137
15,0.21352116349670622,0.4693206977063291,0.8670520231213873,0.8650474548339844,0.000218098574960932,1.371113400000013
16,0.21041057134668031,0.47062409061916993,0.861271676300578,0.8605026602745056,0.00020740251485476348,1.3657254999998258
17,0.20947821686665216,0.5674310308201005,0.8323699421965318,0.8334106206893921,0.00019635254915624213,1.3698970999998892
18,0.2063056172596084,0.49378946314427663,0.8863198458574181,0.8851778507232666,0.00018501680457838585,1.4049261000000115
19,0.20244355334175956,0.48742634712616145,0.8477842003853564,0.8455058932304382,0.00017346516975603465,1.3924091000001226
20,0.20128456130623817,0.45551853487716704,0.8631984585741811,0.8630880117416382,0.00016176886435917675,1.3903543000001264
21,0.19649967716799843,0.4868558725640034,0.8689788053949904,0.8676859140396118,0.00015,1.36123520000001
22,0.19539205729961395,0.47909838110495623,0.8689788053949904,0.867802083492279,0.00013823113564082325,1.4007576999999856
23,0.19402230282624564,0.525916507937775,0.8400770712909441,0.836923360824585,0.00012653483024396538,1.3939138999999159
24,0.19293799334102207,0.5031948199850975,0.8285163776493256,0.8259649276733398,0.00011498319542161417,1.3991404000000784
25,0.19066481333639887,0.45061068808182586,0.8747591522157996,0.8737109899520874,0.00010364745084375787,1.4014940000001843
26,0.1896294616162777,0.47250024684362096,0.8670520231213873,0.8659002184867859,9.259748514523652e-05,1.4238255999998728
