epoch,train_nll,validation_nll,lr,seconds
1,0.32442069033237353,0.032316259171289746,0.0002,9.381402999999864
2,0.0017985303197311211,-0.099794899998143,0.0001998629534754574,1.0932133999999678
3,-0.08677395060658455,-0.23488102362335073,0.00019945218953682734,1.008654999999635
4,-0.17276216818861764,-0.27978378970728673,0.0001987688340595138,1.0475710999999137
5,-0.23315609093398265,-0.35185117046268,0.0001978147600733806,1.0561858000000939
6,-0.26638583920589864,-0.3941795026635848,0.00019659258262890686,1.0319868000001406
7,-0.30149742287315734,-0.41710684593472636,0.0001951056516295154,1.075902600000063
8,-0.3284103276386653,-0.449972620818886,0.0001933580426497202,1.060635600000296
9,-0.34011884503168605,-0.4565785837311276,0.00019135454576426012,1.0055844999997134
10,-0.3615930088578838,-0.48194447567467513,0.00018910065241883683,0.9907819000000018
11,-0.37695951780227765,-0.5085265151797462,0.00018660254037844394,1.0382344999998168
12,-0.3976744348055696,-0.5044661011539673,0.00018386705679454245,1.037000799999987
13,-0.40875974460823894,-0.5150740545149713,0.0001809016994374948,0.9868467999999666
14,-0.4245086994073162,-0.536209755435385,0.00017771459614569714,0.9814624999999069
15,-0.4322827691084718,-0.5434263134967385,0.00017431448254773946,0.9872353999999177
16,-0.4409579932689667,-0.548310333364042,0.0001707106781186548,1.0349661000000197
17,-0.4529044117829571,-0.5458310584112399,0.00016691306063588586,1.0642002999998113
18,-0.45562410966990746,-0.5572237521697101,0.00016293203910498378,1.0208847999997488
19,-0.4680837654087642,-0.5478454792660326,0.00015877852522924735,1.0381792999996833
20,-0.47429775905935734,-0.57016331141165,0.00015446390350150275,0.9851390000003448
21,-0.4832751424345252,-0.5749078221863175,0.00015000000000000004,1.0319792000000234
22,-0.4919234338688524,-0.5762255102223743,0.0001453990499739547,1.1181410999997752
23,-0.4961987219444693,-0.5678345548394558,0.00014067366430758007,1.0244972000000416
24,-0.5026357598500709,-0.5841150050677776,0.0001358367949545301,1.0555867000002763
25,-0.5058560987857923,-0.5941554214913032,0.0001309016994374948,1.0174684999997226
26,-0.5013109621119826,-0.59526562782611,0.00012588190451025212,1.070679000000382
27,-0.5165620376802471,-0.5981704591556322,0.00012079116908177597,1.0258318999999574
28,-0.5153227154522726,-0.5907046575537077,0.00011564344650402314,0.9979429999998501
29,-0.5223296088715123,-0.5990442620995876,0.0001104528463267654,0.9931821999998647
30,-0.5191775703266875,-0.6099976558446425,0.00010523359562429442,1.0199548000000505
31,-0.5295025175564909,-0.6135940778002803,0.00010000000000000007,1.081858199999715
32,-0.5288263465443702,-0.5922566352552072,9.476640437570568e-05,1.0674294000000373
33,-0.5340721313267538,-0.5946865252906417,8.954715367323472e-05,1.1079604000001382
34,-0.5366900955161004,-0.6019087175413363,8.435655349597696e-05,1.1017180999997436
35,-0.541474601993822,-0.6115881193120585,7.920883091822411e-05,1.0914489000001595
36,-0.5448198008210692,-0.589122284928728,7.411809548974798e-05,1.0032694000001356
37,-0.546558238463859,-0.6166882946771464,6.909830056250531e-05,1.0509118999998464
38,-0.5508715273582772,-0.6241934617590124,6.416320504547001e-05,1.0581296000000293
39,-0.5530732037269905,-0.6141518766710065,5.9326335692420016e-05,0.9702437000000828
40,-0.5539966682865195,-0.5999117632592115,5.460095002604535e-05,0.9367068999999901
41,-0.5558642071403869,-0.6256556107818736,5.000000000000005e-05,0.9319950999997673
42,-0.5571593515676995,-0.6190822112996683,4.553609649849735e-05,0.965018500000042
43,-0.5601080121242836,-0.6178352141426248,4.1221474770752725e-05,0.9914711999999781
44,-0.5628148786825676,-0.627161014286769,3.7067960895016295e-05,0.9410932999999204
45,-0.5644708622808325,-0.6255822525088728,3.308693936411423e-05,0.9236198999997214
46,-0.5657955346858665,-0.6202451904844457,2.9289321881345275e-05,0.9200166999999055
47,-0.5661579770584629,-0.6249260251232654,2.5685517452260608e-05,0.937348099999781
48,-0.5683617220349508,-0.6244589308553119,2.228540385430293e-05,0.9308283000000301
49,-0.5692213398136504,-0.6248382713523674,1.9098300562505283e-05,0.9502161999998862
50,-0.5709778895116833,-0.6252879787502031,1.613294320545762e-05,0.9554964999997537
51,-0.5709180970714517,-0.6272325096562189,1.339745962155614e-05,0.9504769000000124
52,-0.572609934088302,-0.6284692875452355,1.0899347581163231e-05,0.9414596999999958
53,-0.5727548852358779,-0.6267763456627583,8.64545423573991e-06,0.9453632999998263
54,-0.5736276980948775,-0.6260699254239914,6.641957350279831e-06,0.9516022999996494
55,-0.5745788510531595,-0.6292584337480726,4.89434837048465e-06,1.0146091000001434
56,-0.5743504897372363,-0.6280961416819651,3.407417371093171e-06,0.951754599999731
57,-0.5749655096498254,-0.6275465294345496,2.1852399266194327e-06,0.9285820999998577
58,-0.574419963033232,-0.6286216502244761,1.2311659404862349e-06,0.9354707999996208
59,-0.574846571847184,-0.6285595016442742,5.478104631726603e-07,0.9344978999997693
60,-0.5744842135742919,-0.628472006734396,1.370465245426168e-07,0.9522863000001962
